Asset Type,JP,EN,Don Miguel,Don Miguel Extras
Backdrop,ダンジョン1,Dungeon1,Cave1,
,ダンジョン2,Dungeon2,LavaCave2,
,ダンジョン3,Dungeon3,IceCave3,
,ダンジョン4,Dungeon4,Cave4,
,ダンジョン5,Dungeon5,BrickCave5,
,宇宙,Space,Galaxy,
,山道,MountainPath,Canyon,
,岩場,RockyArea,SnowCanyon,
,廃墟,Ruins,WasteRuins,
,森1,Forest1,Forest1,
,森2,Forest2,Forest2,
,橋,Bridge,Bridge,
,毒沼,PoisonSwamp,Swamp,
,海,Sea,Sea,
,玉座,Throne,Castle,
,異空間,StrangeSpace,LightSpeed,
,砂浜,SandyBeach,SeaBeach,
,砂漠,Desert,Desert,
,神殿,Shrine,Greece,
,空,Sky,Sky,
,船上,ShipDeck,Ship,
,草原,Grassland,Grass,
,荒地,Wasteland,WasteLand,
,街中,Downtown,Town,
,雪原,Snowfield,Snow,
,,,,cave9
,,,,dark3
,,,,desert5
,,,,dungeon1
,,,,dungeon2
,,,,falls2
,,,,forest4
,,,,future1
,,,,future3
,,,,mtn4
,,,,nBridge
,,,,plainsG
,,,,ship1
,,,,underw1
Battle,その他,Other,Etc,
,バリア,Barrier,Barrier,
,ブレス,Breath,Poison,
,上昇,Buff,Up,
,下降,Debuff,Down,
,冷気,Ice,Cold,
,剣1,Sword1,Sword1,
,剣2,Sword2,Sword2,
,吸収,Bite,Absorption,
,回復,Recovery,Sun,
,大地,Earth,Earth,
,打撃,Blow,Hit,
,斧,Axe,Axe,
,暗黒,Dark,Dark,
,槍,Spear,Spear,
,水,Water,Water,
,治療,Treatment,Sphere,
,炎1,Fire1,Fire1,
,炎2,Fire2,Fire2,
,爆発,Explosion,Explosion,
,爪,Claw,Fang,
,矢,Arrow,Arrow,
,神聖,Holy,Holy,
,蘇生,Ressurection,Ray,
,雷,Thunder,Zip,
,鞭,Whip,Whip,
,風,Wind,Wind,
,麻痺,Paralysis,Paralysis,
,,,,enemyhp
,,,,qande
Charset,オブジェクト1,Object1,Object1,
,オブジェクト2,Object2,Object2,
,モンスター1,Monster1,Monster1,
,モンスター2,Monster2,Monster2,
,一般1,People1,People1,
,一般2,People2,People7,
,一般3,People3,People3,
,一般4,People4,People4,
,一般5,People5,People5,
,主人公1,Actor1,Chara1,
,主人公2,Actor2,Chara2,
,主人公3,Actor3,Chara3,
,主人公4,Actor4,Chara4,
,乗り物,Vehicles,Vehicle,
,動物,Animal,Animal,
,,,Chubby1,
,,,Chubby2,
,,,Crown1,
,,,Crown2,
,,,Crown3,
,,,Crown4,
,,,Crown5,
,,,Crown6,
,,,Crown7,
,,,Future1,
,,,Future2,
,,,Future3,
,,,Men1,
,,,Women1,
,,,,actraiser3.1
,,,,african
,,,,alex
,,,,alien3
,,,,alien4
,,,,angel
,,,,arquivo-x
,,,,bahamut_lagoon
,,,,bartender
,,,,bloodydoors
,,,,brats01
,,,,breathoffire4
,,,,brian
,,,,chara01
,,,,chara02
,,,,chara03
,,,,chara04
,,,,chara05
,,,,chara06
,,,,chara07
,,,,chara08
,,,,chara09
,,,,chara10
,,,,chara11
,,,,chara12
,,,,chara13
,,,,chara14
,,,,chara15
,,,,chara16
,,,,chara6gold
,,,,charaa1
,,,,charaa2
,,,,chara_c1
,,,,chara_c2
,,,,chara_h_9
,,,,chara_misc_1
,,,,chubby2b
,,,,crosshairandtargets
,,,,crystals
,,,,ctchar
,,,,ctportal
,,,,dbz_chara1
,,,,dbz_chara2
,,,,dbz_orig1
,,,,don_chara1
,,,,don_collection_10
,,,,don_collection_11
,,,,don_collection_12
,,,,don_collection_13
,,,,don_collection_14
,,,,don_collection_15
,,,,don_collection_16
,,,,don_collection_17
,,,,don_collection_18
,,,,don_collection_19
,,,,don_collection_1
,,,,don_collection_20
,,,,don_collection_21
,,,,don_collection_22
,,,,don_collection_23
,,,,don_collection_24
,,,,don_collection_25
,,,,don_collection_26
,,,,don_collection_27
,,,,don_collection_28
,,,,don_collection_2
,,,,don_collection_3
,,,,don_collection_4
,,,,don_collection_5
,,,,don_collection_6
,,,,don_collection_7
,,,,don_collection_8
,,,,don_collection_9
,,,,don_collection_mm
,,,,don_fish
,,,,don_pikachuu
,,,,don_pokeballz
,,,,don_xfiles
,,,,earthbound1
,,,,earthbound2
,,,,earthbound3
,,,,earthboundsheet
,,,,edit1
,,,,egyptian
,,,,eskimo
,,,,evil1
,,,,expression
,,,,ff3_soldiers
,,,,ff7_chara1
,,,,ff83
,,,,ff9chara
,,,,fft_archers
,,,,fft_thieves
,,,,flags_n_chests
,,,,free01
,,,,free02
,,,,free03
,,,,free04
,,,,future_soldiers1
,,,,fx_chara16
,,,,gohanssj1-2
,,,,goldendoors
,,,,greece
,,,,houshin5
,,,,illustset1
,,,,islander
,,,,items_1
,,,,items_2
,,,,items_3
,,,,link
,,,,linofull
,,,,mario
,,,,megaman1
,,,,minato_c
,,,,mk
,,,,mohawk
,,,,newaya
,,,,object3
,,,,object6
,,,,object9
,,,,objecta
,,,,objectb
,,,,objectc
,,,,objectd
,,,,objecte
,,,,objectf
,,,,objectg
,,,,objecth
,,,,objecti
,,,,objectj
,,,,objectk
,,,,objectl
,,,,objects3
,,,,omek
,,,,patrick
,,,,pirate
,,,,pose19
,,,,pose2
,,,,pose3
,,,,pose
,,,,poses_kirby_dolphin
,,,,pw_chara
,,,,robot
,,,,robots1
,,,,rolf'sarmy1
,,,,rolf'sarmy2
,,,,rs3_1
,,,,sailormoon1
,,,,savepoint
,,,,set_ggi1
,,,,set_hei1
,,,,set_ipa1
,,,,set_ipa2
,,,,set_ken1
,,,,set_mon1
,,,,simchara
,,,,simpsons
,,,,slime1
,,,,slime2
,,,,soldiers_brats
,,,,soldiers
,,,,sparkleitems_1
,,,,sparkleitems_2
,,,,sparkleitems_3
,,,,sparkleitems_4
,,,,ss4gku_futrbulma
,,,,staroc1
,,,,starwar1
,,,,starwar2
,,,,sv
,,,,tenchi
,,,,torch_1
,,,,torch
,,,,treasure
,,,,vegetable
,,,,vehicle3
,,,,window
,,,,wizard
,,,,x-files_lh
,,,,xfmainchars2
,,,,xfmainchars
,,,,xmas_chara1
,,,,x-men-movie
,,,,zlightup
Chipset,ダンジョン,Dungeon,Dungeon,
,内装,Interior,Inner,
,基本,World,Basis,
,外観,Exterior,Outline,
,船,Ship,Ship,
,,,ChipSet1,
,,,ChipSet2,
,,,ChipSet3,
,,,,2ktownset
,,,,3d_castl
,,,,3d_inner
,,,,3d_town
,,,,3d_town_
,,,,airship1
,,,,airship2
,,,,airship4
,,,,air_ship
,,,,army
,,,,bof22_b
,,,,bof22
,,,,bof2
,,,,bof
,,,,boxing_r
,,,,casino
,,,,castle_2_
,,,,castle
,,,,chipset10
,,,,chipset11b
,,,,chipset11
,,,,chipset12
,,,,chipset13b
,,,,chipset13
,,,,chipset14
,,,,chipset15
,,,,chipset17
,,,,chipset18
,,,,chipset19
,,,,chipset1old
,,,,chipset_1
,,,,chipset20
,,,,chipset2old
,,,,chipset_2
,,,,chipset_3
,,,,chipset4
,,,,chipset5b
,,,,chipset5c
,,,,chipset5
,,,,chipset6b
,,,,chipset6c
,,,,chipset6
,,,,chipset7
,,,,chipset8
,,,,chipset9
,,,,chronohouses
,,,,darktown
,,,,darkworld
,,,,dumalchipset01
,,,,dungeon2
,,,,dw3
,,,,earthboundchips_2
,,,,earthboundchips
,,,,ebchip_00
,,,,ebinnerchips
,,,,ff62
,,,,ff6_airship
,,,,ff6_inner
,,,,ff6
,,,,ff6_town
,,,,forest
,,,,forest_t
,,,,future_i
,,,,future_w
,,,,golden1
,,,,grey_cas
,,,,hell
,,,,house2
,,,,house3
,,,,house4
,,,,house5
,,,,house
,,,,japanese_town
,,,,lufia2_b
,,,,lufia2_d
,,,,lufia2_house
,,,,lufia2
,,,,lufia2_t
,,,,map_town01
,,,,minato1
,,,,modern2
,,,,modern3
,,,,modern_b
,,,,modern_c
,,,,modern
,,,,modern_world
,,,,modified
,,,,outcastle
,,,,phantasystar
,,,,pocket_m
,,,,pokemontiles
,,,,ps4
,,,,robotrektown
,,,,rs3
,,,,school_chipset
,,,,sd3_b
,,,,sd3_c
,,,,sd3_d
,,,,sd3
,,,,sompalace2
,,,,sompalace
,,,,som
,,,,space
,,,,suik2heroshouse
,,,,suik2house
,,,,suik2inside
,,,,suik2kyaroinside
,,,,suik2kyaro
,,,,terranig
,,,,topcity
,,,,top-totus
,,,,town_21
,,,,town2
,,,,town3
,,,,town4
